ID,Type,Material,Size,Length
SAN010101000001,EMT,Galvanized Steel,0.5,10 ft.
SAN010101000002,EMT,Galvanized Steel,0.75,10 ft.
SAN010101000003,EMT,Galvanized Steel,1,10 ft.
SAN010101000004,EMT,Galvanized Steel,1.25,10 ft.
SAN010101000005,EMT,Galvanized Steel,1.5,10 ft.
SAN010101000006,EMT,Galvanized Steel,2,10 ft.
SAN010101000007,EMT,Galvanized Steel,2.5,10 ft.
SAN010101000008,EMT,Galvanized Steel,3,10 ft.
SAN010101000009,EMT,Galvanized Steel,3.5,10 ft.
SAN010101000010,EMT,Galvanized Steel,4,10 ft.
SAN010101000011,EMT,Galvanized Steel,5,10 ft.
SAN010101000012,EMT,Galvanized Steel,6,10 ft.
SAN010101000036,EMT,Galvanized Steel,0.5,20 ft.
SAN010101000037,EMT,Galvanized Steel,0.75,20 ft.
SAN010101000038,EMT,Galvanized Steel,1,20 ft.
SAN010101000039,EMT,Galvanized Steel,1.25,20 ft.
SAN010101000040,EMT,Galvanized Steel,1.5,20 ft.
SAN010101000041,EMT,Galvanized Steel,2,20 ft.
SAN010101000042,EMT,Galvanized Steel,2.5,20 ft.
SAN010101000043,EMT,Galvanized Steel,3,20 ft.
SAN010101000044,EMT,Galvanized Steel,3.5,20 ft.
SAN010101000045,EMT,Galvanized Steel,4,20 ft.
SAN010101000046,EMT,Galvanized Steel,5,20 ft.
SAN010101000047,EMT,Galvanized Steel,6,20 ft.
SAN010101000083,EMT,Stainless Steel,0.5,10 ft.
SAN010101000084,EMT,Stainless Steel,0.75,10 ft.
SAN010101000085,EMT,Stainless Steel,1,10 ft.
SAN010101000086,EMT,Stainless Steel,1.25,10 ft.
SAN010101000087,EMT,Stainless Steel,1.5,10 ft.
SAN010101000088,EMT,Stainless Steel,2,10 ft.
SAN010101000089,EMT,Stainless Steel,2.5,10 ft.
SAN010101000090,EMT,Stainless Steel,3,10 ft.
SAN010101000091,EMT,Stainless Steel,3.5,10 ft.
SAN010101000092,EMT,Stainless Steel,4,10 ft.
SAN010101000093,EMT,Stainless Steel,5,10 ft.
SAN010101000094,EMT,Stainless Steel,6,10 ft.
SAN010101000203,LFNC,PVC,0.75,50 ft.
SAN010101000204,LFNC,PVC,1,50 ft.
SAN010101000205,LFNC,PVC,1.25,50 ft.
SAN010101000206,LFNC,PVC,1.5,50 ft.
SAN010101000207,LFNC,PVC,2,50 ft.
SAN010101000208,LFNC,PVC,2.5,50 ft.
SAN010101000209,LFNC,PVC,3,50 ft.
SAN010101000210,LFNC,PVC,3.5,50 ft.
SAN010101000211,LFNC,PVC,4,50 ft.
SAN010101000212,LFNC,PVC,5,50 ft.
SAN010101000213,LFNC,PVC,6,50 ft.
SAN010101000214,LFNC,PVC,0.5,100 ft.
SAN010101000215,LFNC,PVC,0.75,100 ft.
SAN010101000216,LFNC,PVC,1,100 ft.
SAN010101000217,LFNC,PVC,1.25,100 ft.
SAN010101000218,LFNC,PVC,1.5,100 ft.
SAN010101000219,LFNC,PVC,2,100 ft.
SAN010101000220,LFNC,PVC,2.5,100 ft.
SAN010101000221,LFNC,PVC,3,100 ft.
SAN010101000222,LFNC,PVC,3.5,100 ft.
SAN010101000223,LFNC,PVC,4,100 ft.
SAN010101000224,LFNC,PVC,5,100 ft.
SAN010101000225,LFNC,PVC,6,100 ft.
SAN010101000250,LFNC,PVC,0.5,1000 ft.
SAN010101000251,LFNC,PVC,0.75,1000 ft.
SAN010101000252,LFNC,PVC,1,1000 ft.
SAN010101000253,LFNC,PVC,1.25,1000 ft.
SAN010101000254,LFNC,PVC,1.5,1000 ft.
SAN010101000255,LFNC,PVC,2,1000 ft.
SAN010101000256,LFNC,PVC,2.5,1000 ft.
SAN010101000257,LFNC,PVC,3,1000 ft.
SAN010101000258,LFNC,PVC,3.5,1000 ft.
SAN010101000259,LFNC,PVC,4,1000 ft.
SAN010101000260,LFNC,PVC,5,1000 ft.
SAN010101000261,LFNC,PVC,6,1000 ft.
SAN010101000262,LFNC,PVC,0.5,500 ft.
SAN010101000263,LFNC,PVC,0.75,500 ft.
SAN010101000264,LFNC,PVC,1,500 ft.
SAN010101000265,LFNC,PVC,1.25,500 ft.
SAN010101000266,LFNC,PVC,1.5,500 ft.
SAN010101000267,LFNC,PVC,2,500 ft.
SAN010101000268,LFNC,PVC,2.5,500 ft.
SAN010101000269,LFNC,PVC,3,500 ft.
SAN010101000270,LFNC,PVC,3.5,500 ft.
SAN010101000271,LFNC,PVC,4,500 ft.
SAN010101000272,LFNC,PVC,5,500 ft.
SAN010101000273,LFNC,PVC,6,500 ft.
SAN010101000274,LFMC,PVC Coated Galvanized Steel,0.5,500 ft.
SAN010101000275,LFMC,PVC Coated Galvanized Steel,0.75,500 ft.
SAN010101000276,LFMC,PVC Coated Galvanized Steel,1,500 ft.
SAN010101000277,LFMC,PVC Coated Galvanized Steel,1.25,500 ft.
SAN010101000278,LFMC,PVC Coated Galvanized Steel,1.5,500 ft.
SAN010101000279,LFMC,PVC Coated Galvanized Steel,2,500 ft.
SAN010101000280,LFMC,PVC Coated Galvanized Steel,2.5,500 ft.
SAN010101000281,LFMC,PVC Coated Galvanized Steel,3,500 ft.
SAN010101000282,LFMC,PVC Coated Galvanized Steel,3.5,500 ft.
SAN010101000283,LFMC,PVC Coated Galvanized Steel,4,500 ft.
SAN010101000284,LFMC,PVC Coated Galvanized Steel,5,500 ft.
SAN010101000285,LFMC,PVC Coated Galvanized Steel,6,500 ft.
SAN010101000286,LFMC,PVC Coated Galvanized Steel,0.5,1000 ft.
SAN010101000287,LFMC,PVC Coated Galvanized Steel,0.75,1000 ft.
SAN010101000288,LFMC,PVC Coated Galvanized Steel,1,1000 ft.
SAN010101000289,LFMC,PVC Coated Galvanized Steel,1.25,1000 ft.
SAN010101000290,LFMC,PVC Coated Galvanized Steel,1.5,1000 ft.
SAN010101000291,LFMC,PVC Coated Galvanized Steel,2,1000 ft.
SAN010101000292,LFMC,PVC Coated Galvanized Steel,2.5,1000 ft.
SAN010101000293,LFMC,PVC Coated Galvanized Steel,3,1000 ft.
SAN010101000294,LFMC,PVC Coated Galvanized Steel,3.5,1000 ft.
SAN010101000295,LFMC,PVC Coated Galvanized Steel,4,1000 ft.
SAN010101000296,LFMC,PVC Coated Galvanized Steel,5,1000 ft.
SAN010101000297,LFMC,PVC Coated Galvanized Steel,6,1000 ft.
SAN010101000298,LFMC,PVC Coated Galvanized Steel,0.5,275 ft.
SAN010101000299,LFMC,PVC Coated Galvanized Steel,0.75,275 ft.
SAN010101000300,LFMC,PVC Coated Galvanized Steel,1,275 ft.
SAN010101000301,LFMC,PVC Coated Galvanized Steel,1.25,275 ft.
SAN010101000302,LFMC,PVC Coated Galvanized Steel,1.5,275 ft.
SAN010101000303,LFMC,PVC Coated Galvanized Steel,2,275 ft.
SAN010101000304,LFMC,PVC Coated Galvanized Steel,2.5,275 ft.
SAN010101000305,LFMC,PVC Coated Galvanized Steel,3,275 ft.
SAN010101000306,LFMC,PVC Coated Galvanized Steel,3.5,275 ft.
SAN010101000307,LFMC,PVC Coated Galvanized Steel,4,275 ft.
SAN010101000308,LFMC,PVC Coated Galvanized Steel,5,275 ft.
SAN010101000309,LFMC,PVC Coated Galvanized Steel,6,275 ft.
SAN010101000310,LFNC,PVC,0.5,200 ft.
SAN010101000311,LFNC,PVC,0.75,200 ft.
SAN010101000312,LFNC,PVC,1,200 ft.
SAN010101000313,LFNC,PVC,1.25,200 ft.
SAN010101000314,LFNC,PVC,1.5,200 ft.
SAN010101000315,LFNC,PVC,2,200 ft.
SAN010101000316,LFNC,PVC,2.5,200 ft.
SAN010101000317,LFNC,PVC,3,200 ft.
SAN010101000318,LFNC,PVC,3.5,200 ft.
SAN010101000319,LFNC,PVC,4,200 ft.
SAN010101000320,LFNC,PVC,5,200 ft.
SAN010101000321,LFNC,PVC,6,200 ft.
SAN010101000322,LFMC,PVC Coated Galvanized Steel,0.5,400 ft.
SAN010101000323,LFMC,PVC Coated Galvanized Steel,0.75,400 ft.
SAN010101000324,LFMC,PVC Coated Galvanized Steel,1,400 ft.
SAN010101000325,LFMC,PVC Coated Galvanized Steel,1.25,400 ft.
SAN010101000326,LFMC,PVC Coated Galvanized Steel,1.5,400 ft.
SAN010101000327,LFMC,PVC Coated Galvanized Steel,2,400 ft.
SAN010101000328,LFMC,PVC Coated Galvanized Steel,2.5,400 ft.
SAN010101000329,LFMC,PVC Coated Galvanized Steel,3,400 ft.
SAN010101000330,LFMC,PVC Coated Galvanized Steel,3.5,400 ft.
SAN010101000331,LFMC,PVC Coated Galvanized Steel,4,400 ft.
SAN010101000332,LFMC,PVC Coated Galvanized Steel,5,400 ft.
SAN010101000333,LFMC,PVC Coated Galvanized Steel,6,400 ft.
SAN010101000334,LFNC,Nylon,0.5,100 ft.
