Short Desc,Type,Material,Size,Length,Trade Size:,Type:,Conduit Type:,Length:,Style:,Color:,Trade Size:.1,Jacket:,Core:,Weight:,Temperature:,End Type:,Ground:,Throat:,Angle:,Outside Diameter:,Application:,Package:,SKU,Manufacturer Series,PDF Link
"Fire Alarm EMT Conduit, 3/4 in. Trade, 10 ft L, Galvanized Steel, Red, Standard End",EMT,Galvanized Steel,0.75,10 ft.,3/4 in.,EMT - Thinwall Conduit,0,10 ft.,0,Red,3/4 in.,0,0,0,0,Standard End,0,0.0,0.0,0,0.0,0.0,78001098401.0,,
"EMT Conduit, 3/4 in. Trade, 10 ft L, Galvanized Steel, Blue, Standard End, 46 lb/100 ft",EMT,Galvanized Steel,0.75,10 ft.,3/4 in.,EMT - Thinwall Conduit,0,10 ft.,0,Blue,3/4 in.,0,0,46 lb. / 100 ft.,0,Standard End,0,0.0,0.0,0,0.0,0.0,78001098979.0,,
"Conduit, EMT; Electroplated Steel; White; 3/4 in. x 10 ft.",EMT,Galvanized Steel,0.75,10 ft.,3/4 in.,EMT Conduit,0,10 ft.,0,White,3/4 in.,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,78001002412.0,,
"Kwik-Fit    Conduit, EMT-Thinwall, 2 in. Trade",EMT,Galvanized Steel,2.0,10 ft.,2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,2 in.,0,0,148 lb. / 100 ft.,0,Integral Set-Screw Coupling,0,0.0,0.0,0,0.0,0.0,9111103026.0,E-Z PULL,
"EMT Conduit, 3 in. Trade, 10 ft L, Galvanized Steel, Silver, Integral Compression Coupling",EMT,Galvanized Steel,3.0,10 ft.,3 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,3 in.,0,0,263 lb. / 100 ft.,0,Integral Compression Coupling,0,0.0,0.0,0,0.0,0.0,78001093165.0,E-Z PULL,http://www.alliedeg.us/e_documents/Allied_Kwik-Fit_and_Kwik-Fit_Compression_EMT.pdf
"EMT Conduit, 3/4 in. Trade, 10 ft L, Galvanized Steel, White, 46 lb/100 ft",EMT,Galvanized Steel,0.75,10 ft.,3/4 in.,EMT - Thinwall Conduit,0,10 ft.,0,White,3/4 in.,0,0,46 lb. / 100 ft.,0,0,0,0.0,0.0,0,0.0,0.0,78001098967.0,,
"EMT Conduit, 2-1/2 in. Trade, 10 ft L, Galvanized Steel, Silver, Integral Compression Coupling",EMT,Galvanized Steel,2.5,10 ft.,2-1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,2-1/2 in.,0,0,216 lb. / 100 ft.,0,Integral Compression Coupling,0,0.0,0.0,0,0.0,0.0,78001095225.0,E-Z PULL,http://www.alliedeg.us/e_documents/Allied_Kwik-Fit_and_Kwik-Fit_Compression_EMT.pdf
"EMT Conduit, 1-1/4 in. Trade, 10 ft L, Galvanized Steel, Silver, Integral Compression Coupling",EMT,Galvanized Steel,1.25,10 ft.,1-1/4 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,1-1/4 in.,0,0,101 lb. / 100 ft.,0,Integral Compression Coupling,0,0.0,0.0,0,0.0,0.0,78001095015.0,E-Z PULL,http://www.alliedeg.us/e_documents/Allied_Kwik-Fit_and_Kwik-Fit_Compression_EMT.pdf
"EMT Conduit, 2-1/2 in. Trade, 10 ft L, Galvanized Steel, Silver, Integral Compression Coupling",EMT,Galvanized Steel,2.5,10 ft.,2-1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,2-1/2 in.,0,0,216 lb. / 100 ft.,0,Integral Compression Coupling,0,0.0,0.0,0,0.0,0.0,78001093170.0,E-Z PULL,http://www.alliedeg.us/e_documents/Allied_Kwik-Fit_and_Kwik-Fit_Compression_EMT.pdf
"EMT Conduit, 2 in. Trade, 10 ft L, Galvanized Steel, Silver, Integral Compression Coupling",EMT,Galvanized Steel,2.0,10 ft.,2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,2 in.,0,0,148 lb. / 100 ft.,0,Integral Compression Coupling,0,0.0,0.0,0,0.0,0.0,78001098996.0,E-Z PULL,http://www.alliedeg.us/e_documents/Allied_Kwik-Fit_and_Kwik-Fit_Compression_EMT.pdf
"EMT Conduit, 3/4 in., 10 ft L, Steel, Red, 4.6 lb",EMT,Galvanized Steel,0.75,10 ft.,3/4 in.,EMT Conduit,0,10 ft.,0,Red,3/4 in.,0,0,4.6 lb.,0,0,0,0.0,0.0,0,0.0,0.0,9111150012.0,,
"Kwik-Fit    Conduit, EMT-Thinwall, 3 in. Trade",EMT,Galvanized Steel,3.0,10 ft.,3 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,3 in.,0,0,263 lb. / 100 ft.,0,Integral Set-Screw Coupling,0,0.0,0.0,0,0.0,0.0,9111103028.0,E-Z PULL,
"Fire Alarm EMT Conduit, 3/4 in. Trade, 10 ft L, Galvanized Steel, Red, Standard End",EMT,Galvanized Steel,0.75,10 ft.,3/4 in.,EMT - Thinwall Conduit,0,10 ft.,0,Red,3/4 in.,0,0,46 lb. / 100 ft.,0,Standard End,0,0.0,0.0,0,0.0,0.0,78001002012.0,,
"EMT Conduit, 1 in. Trade, 10 ft L, Galvanized Steel, Blue, Standard End, 67 lb/100 ft",EMT,Galvanized Steel,1.0,10 ft.,1 in.,EMT - Thinwall Conduit,0,10 ft.,0,Blue,1 in.,0,0,67 lb. / 100 ft.,0,0,0,0.0,0.0,0,0.0,0.0,78001095231.0,,
"Fire Alarm EMT Conduit, 1 in. Trade, 10 ft L, Galvanized Steel, Red, Standard End",EMT,Galvanized Steel,1.0,10 ft.,1 in.,EMT - Thinwall Conduit,0,10 ft.,0,Red,1 in.,0,0,67 lb. / 100 ft.,0,Standard End,0,0.0,0.0,0,0.0,0.0,78001002013.0,,
"EMT Conduit, 4 in. Trade, 10 ft L, Galvanized Steel, Silver, Integral Compression Coupling",EMT,Galvanized Steel,4.0,10 ft.,4 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,4 in.,0,0,393 lb. / 100 ft.,0,Integral Compression Coupling,0,0.0,0.0,0,0.0,0.0,78001092132.0,E-Z PULL,http://www.alliedeg.us/e_documents/Allied_Kwik-Fit_and_Kwik-Fit_Compression_EMT.pdf
"EMT Conduit, 2 in. Trade, 10 ft L, Galvanized Steel, Silver, Integral Compression Coupling",EMT,Galvanized Steel,2.0,10 ft.,2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Silver,2 in.,0,0,148 lb. / 100 ft.,0,Integral Compression Coupling,0,0.0,0.0,0,0.0,0.0,78001095223.0,E-Z PULL,http://www.alliedeg.us/e_documents/Allied_Kwik-Fit_and_Kwik-Fit_Compression_EMT.pdf
"Fire Alarm EMT Conduit, 1/2 in. Trade, 10 ft L, Galvanized Steel, Red, Standard End",EMT,Galvanized Steel,0.5,10 ft.,1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Red,1/2 in.,0,0,30 lb. / 100 ft.,0,0,0,0.0,0.0,0,0.0,0.0,78001002011.0,,
"EMT Conduit, 1/2 in. Trade, 10 ft L, Galvanized Steel, Yellow, 30 lb/100 ft",EMT,Galvanized Steel,0.5,10 ft.,1/2 in.,EMT - Thinwall Conduit,0,10 ft.,0,Yellow,1/2 in.,0,0,30 lb. / 100 ft.,0,0,0,0.0,0.0,0,0.0,0.0,78001098993.0,,
